t,XxV,XyV,XzV,qx,qy,qz,qw,ZxW,ZyW,ZzW,ExB,EyB,EzB,eta,E1I,E2I
1.36541,-0.521067,1.67035,1.57654,-0.000392804,-0.00101204,0.0281826,0.999602,-0.140222,1.74525,0,0.34619,-0.268749,-1.57654,-0.547117169222473,587.759,421.767
1.37618,-0.513826,1.6572,1.5768,-0.00201777,-0.00340944,0.0210668,0.99977,-0.14059,1.74559,0,0.346248,-0.268793,-1.5768,-0.547131499478177,587.759,421.767
1.38732,-0.513826,1.6572,1.5768,-0.00201777,-0.00340944,0.0210668,0.99977,-0.14059,1.74559,0,0.346248,-0.268793,-1.5768,-0.547131499478177,587.759,421.767
1.40037,-0.508674,1.649,1.57698,0.00203516,-0.00349312,0.0253069,0.999672,-0.140634,1.74559,0,0.346288,-0.268825,-1.57698,-0.547144115666378,587.759,421.767
1.4133,-0.506592,1.64521,1.57695,0.00196143,-0.0012364,0.0240572,0.999708,-0.140643,1.74558,0,0.346281,-0.268819,-1.57695,-0.5471412468993,587.759,421.767
1.42125,-0.506592,1.64521,1.57695,0.00196143,-0.0012364,0.0240572,0.999708,-0.140643,1.74558,0,0.346281,-0.268819,-1.57695,-0.5471412468993,587.759,421.767
1.42911,-0.506592,1.64521,1.57695,0.00196143,-0.0012364,0.0240572,0.999708,-0.140643,1.74558,0,0.346281,-0.268819,-1.57695,-0.5471412468993,587.759,421.767
1.4386,-0.506592,1.64521,1.57695,0.00196143,-0.0012364,0.0240572,0.999708,-0.140643,1.74558,0,0.346281,-0.268819,-1.57695,-0.5471412468993,587.759,421.767
1.45217,-0.502172,1.63884,1.57663,-0.000686637,-0.00357678,0.0228408,0.999732,-0.140668,1.74557,0,0.346211,-0.268765,-1.57663,-0.547122472233126,587.759,421.767
1.46312,-0.502172,1.63884,1.57663,-0.000686637,-0.00357678,0.0228408,0.999732,-0.140668,1.74557,0,0.346211,-0.268765,-1.57663,-0.547122472233126,587.759,421.767
1.47279,-0.502172,1.63884,1.57663,-0.000686637,-0.00357678,0.0228408,0.999732,-0.140668,1.74557,0,0.346211,-0.268765,-1.57663,-0.547122472233126,587.759,421.767
1.48621,-0.49697,1.6304,1.57662,-0.00915954,-0.00581516,0.0204149,0.999733,-0.140677,1.74557,0,0.346209,-0.268763,-1.57662,-0.547121180020517,587.759,421.767
1.49869,-0.493438,1.62489,1.57721,-0.00602614,-0.00432314,0.0216429,0.999738,-0.140681,1.74557,0,0.346338,-0.268863,-1.57721,-0.547156577340803,587.759,421.767
1.50861,-0.493438,1.62489,1.57721,-0.00602614,-0.00432314,0.0216429,0.999738,-0.140681,1.74557,0,0.346338,-0.268863,-1.57721,-0.547156577340803,587.759,421.767
1.52151,-0.491089,1.62166,1.57765,-0.00935473,-0.00339949,0.0229554,0.999687,-0.140641,1.74557,0,0.346434,-0.268938,-1.57765,-0.547183865654386,587.759,421.767
1.53638,-0.487423,1.61801,1.57807,-0.00951819,-0.00473123,0.0241715,0.999651,-0.14063,1.74559,0,0.346528,-0.269011,-1.57807,-0.547209850457013,587.759,421.767
1.54424,-0.487423,1.61801,1.57807,-0.00951819,-0.00473123,0.0241715,0.999651,-0.14063,1.74559,0,0.346528,-0.269011,-1.57807,-0.547209850457013,587.759,421.767
1.55157,-0.487423,1.61801,1.57807,-0.00951819,-0.00473123,0.0241715,0.999651,-0.14063,1.74559,0,0.346528,-0.269011,-1.57807,-0.547209850457013,587.759,421.767
1.56364,-0.487423,1.61801,1.57807,-0.00951819,-0.00473123,0.0241715,0.999651,-0.14063,1.74559,0,0.346528,-0.269011,-1.57807,-0.547209850457013,587.759,421.767
1.57699,-0.482916,1.61189,1.57858,-0.00815936,-0.00363431,0.019693,0.999766,-0.140707,1.74558,0,0.346638,-0.269097,-1.57858,-0.547241191703979,587.759,421.767
1.59116,-0.482916,1.61189,1.57858,-0.00815936,-0.00363431,0.019693,0.999766,-0.140707,1.74558,0,0.346638,-0.269097,-1.57858,-0.547241191703979,587.759,421.767
1.60299,-0.477103,1.60575,1.57921,-0.00965934,-0.00406598,0.0231853,0.999676,-0.140652,1.74558,0,0.346776,-0.269204,-1.57921,-0.54727901637705,587.759,421.767
1.61557,-0.474718,1.60303,1.57943,-0.0100313,-0.00573772,0.0213795,0.999705,-0.140638,1.7456,0,0.346826,-0.269243,-1.57943,-0.547293097417993,587.759,421.767
1.62334,-0.474718,1.60303,1.57943,-0.0100313,-0.00573772,0.0213795,0.999705,-0.140638,1.7456,0,0.346826,-0.269243,-1.57943,-0.547293097417993,587.759,421.767
1.63321,-0.474718,1.60303,1.57943,-0.0100313,-0.00573772,0.0213795,0.999705,-0.140638,1.7456,0,0.339123,-0.122987,-1.57943,-0.276066064989367,582.733,326.356
1.64652,-0.470612,1.5991,1.5801,-0.00704964,-0.00558057,0.0184049,0.99979,-0.140642,1.74557,0,0.339267,-0.123039,-1.5801,-0.276089949541765,582.733,326.356
1.65851,-0.470612,1.5991,1.5801,-0.00704964,-0.00558057,0.0184049,0.99979,-0.140642,1.74557,0,0.339267,-0.123039,-1.5801,-0.276089949541765,582.733,326.356
1.66949,-0.470612,1.5991,1.5801,-0.00704964,-0.00558057,0.0184049,0.99979,-0.140642,1.74557,0,0.339267,-0.123039,-1.5801,-0.276089949541765,582.733,326.356
